StartTime::21-07-2024 15:14:16, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 15:14:16, TotalTimeInSeconds::0.2626881
StartTime::21-07-2024 15:14:35, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 15:14:35, TotalTimeInSeconds::0.0029377
StartTime::21-07-2024 15:14:44, ControllerName::Customers, ActionName::PostCustomer, EndTime::21-07-2024 15:14:45, TotalTimeInSeconds::0.931277
StartTime::21-07-2024 15:16:16, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 15:16:16, TotalTimeInSeconds::0.2260161
StartTime::21-07-2024 15:16:34, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 15:16:34, TotalTimeInSeconds::0.0031269
StartTime::21-07-2024 15:16:35, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 15:16:35, TotalTimeInSeconds::0.0022344
StartTime::21-07-2024 15:16:36, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 15:16:36, TotalTimeInSeconds::0.0085915
StartTime::21-07-2024 15:16:36, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 15:16:36, TotalTimeInSeconds::0.0022356
StartTime::21-07-2024 15:16:37, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 15:16:37, TotalTimeInSeconds::0.0058427
StartTime::21-07-2024 15:16:43, ControllerName::Customers, ActionName::PostCustomer, EndTime::21-07-2024 15:16:44, TotalTimeInSeconds::1.3850266
StartTime::21-07-2024 16:03:04, ControllerName::Customers, ActionName::GetAllCustomers, EndTime::21-07-2024 16:03:04, TotalTimeInSeconds::0.2226305
StartTime::21-07-2024 16:05:11, ControllerName::Customers, ActionName::PostCustomer, EndTime::21-07-2024 16:05:12, TotalTimeInSeconds::1.2532728
